   15000000.000000000        2059572654.8110359     
   15050505.050505051        1973802365.1613355     
   15101010.101010105        1891917401.9535975     
   15151515.151515156        1813723481.4273262     
   15202020.202020207        1739037050.7576456     
   15252525.252525257        1667684640.5665693     
   15303030.303030308        1599502259.5043714     
   15353535.353535362        1534334827.9929969     
   15404040.404040413        1472035648.4353385     
   15454545.454545464        1412465909.3898716     
   15505050.505050516        1355494221.3909595     
   15555555.555555565        1300996182.2623694     
   15606060.606060617        1248853969.9260900     
   15656565.656565670        1198955960.8514454     
   15707070.707070721        1151196372.4218018     
   15757575.757575773        1105474927.6184714     
   15808080.808080822        1061696540.5346565     
   15858585.858585874        1019771021.3371432     
   15909090.909090927        979612799.39049184     
   15959595.959595978        941140663.34842682     
   16010101.010101030        904277517.10042131     
   16060606.060606079        868950150.53865612     
   16111111.111111131        835089024.18214548     
   16161616.161616184        802628066.76114190     
   16212121.212121235        771504484.92651594     
   16262626.262626287        741658584.30589807     
   16313131.313131336        713033601.18134367     
   16363636.363636388        685575544.11251080     
   16414141.414141441        659233044.87497330     
   16464646.464646492        633957218.12575126     
   16515151.515151544        609701529.24753141     
   16565656.565656593        586421669.85966122     
   16616161.616161644        564075440.51807940     
   16666666.666666698        542622640.15796208     
   16717171.717171749        522024961.86233532     
   16767676.767676800        502245894.56727773     
   16818181.818181854        483250630.33982319     
   16868686.868686903        465005976.88840520     
   16919191.919191953        447480274.98779023     
   16969696.969696999        430643320.52098203     
   17020202.020202048        414466290.85980260     
   17070707.070707098        398921675.32365960     
   17121212.121212147        383983209.47272062     
   17171717.171717200        369625813.00718957     
   17222222.222222250        355825531.05888551     
   17272727.272727296        342559478.67484218     
   17323232.323232345        329805788.30522376     
   17373737.373737395        317543560.11963916     
   17424242.424242444        305752814.98693103     
   17474747.474747494        294414449.96375442     
   17525252.525252547        283510196.14686292     
   17575757.575757597        273022578.75296861     
   17626262.626262642        262934879.29842648     
   17676767.676767692        253231099.75880319     
   17727272.727272741        243895928.59572241     
   17777777.777777791        234914708.54523191     
   17828282.828282844        226273406.06833076     
   17878787.878787894        217958582.37029660     
   17929292.929292943        209957365.90107718     
   17979797.979797989        202257426.25424534     
   18030303.030303039        194846949.38696432     
   18080808.080808088        187714614.08799803     
   18131313.131313138        180849569.62514761     
   18181818.181818191        174241414.50752631     
   18232323.232323240        167880176.30189186     
   18282828.282828286        161756292.44582102     
   18333333.333333336        155860592.00384068     
   18383838.383838385        150184278.31576994     
   18434343.434343435        144718912.48947459     
   18484848.484848488        139456397.69298336     
   18535353.535353538        134388964.20351371     
   18585858.585858587        129509155.17339268     
   18636363.636363633        124809813.07513148     
   18686868.686868683        120284066.79007407     
   18737373.737373732        115925319.30704345     
   18787878.787878782        111727235.99931884     
   18838383.838383835        107683733.45004810     
   18888888.888888884        103788968.79788069     
   18939393.939393930        100037329.57618456     
   18989898.989898980        96423424.020685390     
   19040404.040404029        92942071.821766675     
   19090909.090909079        89588295.298981562     
   19141414.141414132        86357310.976558074     
   19191919.191919181        83244521.539843962     
   19242424.242424231        80245508.153734490     
   19292929.292929277        77356023.125150427     
   19343434.343434326        74571982.892612174     
   19393939.393939376        71889461.326862022     
   19444444.444444425        69304683.327356711     
   19494949.494949479        66814018.700257368     
   19545454.545454528        64413976.304311693     
   19595959.595959578        62101198.451747984     
   19646464.646464624        59872455.551973864     
   19696969.696969673        57724640.986522160     
   19747474.747474723        55654766.204284377     
   19797979.797979772        53659956.026650019     
   19848484.848484825        51737444.152703390     
   19898989.898989875        49884568.855140515     
   19949494.949494921        48098768.858050533     
   19999999.999999970        46377579.388155684     
