   15000000.000000000        2381112947.4092588     
   15050505.050505051        2289202983.5389643     
   15101010.101010103        2200933628.8534994     
   15151515.151515154        2116154650.1580513     
   15202020.202020206        2034722409.4287534     
   15252525.252525257        1956499549.1204910     
   15303030.303030308        1881354693.9909382     
   15353535.353535360        1809162168.4913435     
   15404040.404040411        1739801728.8334916     
   15454545.454545463        1673158308.8972764     
   15505050.505050514        1609121779.1947291     
   15555555.555555565        1547586718.1543670     
   15606060.606060617        1488452195.0346279     
   15656565.656565668        1431621563.8171413     
   15707070.707070719        1377002267.4698489     
   15757575.757575771        1324505652.0067141     
   15808080.808080822        1274046789.8051460     
   15858585.858585874        1225544311.6744289     
   15909090.909090925        1178920247.1985803     
   15959595.959595976        1134099872.9052694     
   16010101.010101028        1091011567.8388636     
   16060606.060606079        1049586676.1404263     
   16111111.111111131        1009759376.2607102     
   16161616.161616182        971466556.45393968     
   16212121.212121233        934647696.22058630     
   16262626.262626285        899244753.38647568     
   16313131.313131336        865202056.52352023     
   16363636.363636388        832466202.43421769     
   16414141.414141439        800985958.43787062     
   16464646.464646490        770712169.21133184     
   16515151.515151542        741597667.95101559     
   16565656.565656593        713597191.63601851     
   16616161.616161644        686667300.18449211     
   16666666.666666696        660766299.30697310     
   16717171.717171747        635854166.87124622     
   16767676.767676799        611892482.60353184     
   16818181.818181850        588844360.96039844     
   16868686.868686900        566674387.01484108     
   16919191.919191949        545348555.20846999     
   16969696.969696999        524834210.82975441     
   17020202.020202048        505099994.08580315     
   17070707.070707098        486115786.64225531     
   17121212.121212147        467852660.51253223     
   17171717.171717197        450282829.18399715     
   17222222.222222246        433379600.87449557     
   17272727.272727296        417117333.81833804     
   17323232.323232345        401471393.48605418     
   17373737.373737395        386418111.64721376     
   17424242.424242444        371934747.19029450     
   17474747.474747494        357999448.61799753     
   17525252.525252543        344591218.14057928     
   17575757.575757593        331689877.29370844     
   17626262.626262642        319276034.01107013     
   17676767.676767692        307331051.08545226     
   17727272.727272741        295837015.95536244     
   17777777.777777791        284776711.75735968     
   17828282.828282841        274133589.58724403     
   17878787.878787890        263891741.91604888     
   17929292.929292940        254035877.10942775     
   17979797.979797989        244551295.00153214     
   18030303.030303039        235423863.47684717     
   18080808.080808088        226639996.01569510     
   18131313.131313138        218186630.16123983     
   18181818.181818187        210051206.86783850     
   18232323.232323237        202221650.69248965     
   18282828.282828286        194686350.79293433     
   18333333.333333336        187434142.69767740     
   18383838.383838385        180454290.81481886     
   18434343.434343435        173736471.64812383     
   18484848.484848484        167270757.69022048     
   18535353.535353534        161047601.96419916     
   18585858.585858583        155057823.18620303     
   18636363.636363633        149292591.52284783     
   18686868.686868683        143743414.91849473     
   18737373.737373732        138402125.96852767     
   18787878.787878782        133260869.31585716     
   18838383.838383831        128312089.54889041     
   18888888.888888881        123548519.58017589     
   18939393.939393930        118963169.48585171     
   18989898.989898980        114549315.78690223     
   19040404.040404029        110300491.15406260     
   19090909.090909079        106210474.51900318     
   19141414.141414128        102273281.57518318     
   19191919.191919178        98483155.652481481     
   19242424.242424227        94834558.950399652     
   19292929.292929277        91322164.115285397     
   19343434.343434326        87940846.147647873     
   19393939.393939376        84685674.626230940     
   19444444.444444425        81551906.236076742     
   19494949.494949475        78534977.588353246     
   19545454.545454524        75630498.320234731     
   19595959.595959574        72834244.463617310     
   19646464.646464624        70142152.071921512     
   19696969.696969673        67550311.094682783     
   19747474.747474723        65054959.490060046     
   19797979.797979772        62652477.565801799     
   19848484.848484822        60339382.539601170     
   19898989.898989871        58112323.310145110     
   19949494.949494921        55968075.430521145     
   19999999.999999970        53903536.275986977     
