   83.152354885603202     
   150.00000000000000        332645.34485837002        332645.34485837002        10000000000.000000     
   150.14141414141415        332268.42476040148        332469.92401470570        9844825776.8322182     
   150.28282828282832        331895.50650267291        332295.24431584717        9692131297.7864208     
   150.42424242424246        331526.53067616478        332121.29995130078        9541875303.9905319     
   150.56565656565661        331161.43881796376        331948.08513410098        9394017259.0003891     
   150.70707070707076        330800.17339474621        331775.59410105052        9248517335.3959274     
   150.84848484848490        330442.67778657679        331603.82111295505        9105336401.6409950     
   150.98989898989905        330088.89627101662        331432.76045485219        8964436009.2013302     
   151.13131313131319        329738.77400753676        331262.40643623524        8825778379.9153728     
   151.27272727272734        329392.25702222722        331092.75339127076        8689326393.6126423     
   151.41414141414148        329049.29219279811        330923.79567901156        8555043575.9746046     
   151.55555555555563        328709.82723386580        330755.52768360346        8422894086.6329842     
   151.69696969696977        328373.81068251893        330587.94381448743        8292842707.5006504     
   151.83838383838392        328041.19188415812        330421.03850659571        8164854831.3302603     
   151.97979797979806        327711.92097860319        330254.80622054328        8038896450.4959898     
   152.12121212121221        327385.94888646470        330089.24144281395        7914934145.9937458     
   152.26262626262636        327063.22729577153        329924.33868594072        7792935076.6553688     
   152.40404040404050        326743.70864885137        329760.09248868196        7672866968.5724525     
   152.54545454545465        326427.34612945811        329596.49741619173        7554698104.7254572     
   152.68686868686879        326114.09365014156        329433.54806018545        7438397314.8139153     
   152.82828282828294        325803.90583985369        329271.23903910042        7323933965.2836256     
   152.96969696969711        325496.73803178850        329109.56499825144        7211277949.5467892     
   153.11111111111126        325192.54625144874        328948.52060998161        7100399678.3911533     
   153.25252525252540        324891.28720493551        328788.10057380813        6991270070.5743084     
   153.39393939393955        324592.91826745757        328628.29961656325        6883860543.5993528     
   153.53535353535369        324297.39747205371        328469.11249253072        6778143004.6682396     
   153.67676767676784        324004.68349852593        328310.53398357722        6674089841.8091869     
   153.81818181818198        323714.73566257744        328152.55889927916        6571673915.1746025     
   153.95959595959613        323427.51390515320        327995.18207704503        6470868548.5060816     
   154.10101010101027        323142.97878197749        327838.39838223299        6371647520.7630663     
   154.24242424242442        322861.09145328467        327682.20270826400        6273985057.9118567     
   154.38383838383857        322581.81367374037        327526.58997673006        6177855824.8717279     
   154.52525252525271        322305.10778254789        327371.55513749883        6083234917.6149836     
   154.66666666666686        322030.93669373763        327217.09316881292        5990097855.4178085     
   154.80808080808100        321759.26388663391        327063.19907738536        5898420573.2589102     
   154.94949494949515        321490.05339649791        326909.86789849045        5808179414.3629389     
   155.09090909090929        321223.26980534085        326757.09469605057        5719351122.8857889     
   155.23232323232344        320958.87823290669        326604.87456271867        5631912836.7389183     
   155.37373737373758        320696.84432781849        326453.20261995617        5545842080.5498877     
   155.51515151515173        320437.13425888662        326302.07401810749        5461116758.7563953     
   155.65656565656587        320179.71470657544        326151.48393646965        5377715148.8311100     
   155.79797979798005        319924.55285462464        326001.42758335831        5295615894.6346989     
   155.93939393939419        319671.61638182291        325851.90019616939        5214797999.8944731     
   156.08080808080834        319420.87345393084        325702.89704143733        5135240821.8061457     
